ImageID,NAME_2,mean,start_dt
20190512T110112_20190518T131322,Greater London,4.333090039118592e-5,2019-05-12T11:01:12Z
20190513T104214_20190519T125457,Greater London,1.363611395792371e-4,2019-05-13T11:32:59Z
20190514T102316_20190520T154633,Greater London,8.362919579777835e-5,2019-05-14T11:14:01Z
20190515T114548_20190522T133013,Greater London,1.9646338281630548e-4,2019-05-15T11:45:48Z
20190516T112649_20190522T190242,Greater London,8.010647958165173e-5,2019-05-16T11:26:49Z
NA,NA,NA,2019-05-17T12:00:00Z
NA,NA,NA,2019-05-18T12:00:00Z
NA,NA,NA,2019-05-19T12:00:00Z
NA,NA,NA,2019-05-20T12:00:00Z
20190521T113326_20190527T134856,Greater London,9.542774733775335e-5,2019-05-21T11:33:26Z
20190522T125557_20190528T151151,Greater London,1.5294433050318324e-4,2019-05-22T12:55:57Z
20190523T105528_20190529T125140,Greater London,1.6442661766187332e-4,2019-05-23T10:55:28Z
NA,NA,NA,2019-05-24T12:00:00Z
20190525T115859_20190531T140214,Greater London,5.239886826111359e-5,2019-05-25T11:58:59Z
NA,NA,NA,2019-05-26T12:00:00Z
20190527T112100_20190602T132331,Greater London,2.2922299623315283e-5,2019-05-27T11:21:00Z
NA,NA,NA,2019-05-28T12:00:00Z
NA,NA,NA,2019-05-29T12:00:00Z
NA,NA,NA,2019-05-30T12:00:00Z
NA,NA,NA,2019-05-31T12:00:00Z
20190601T112730_20190607T133946,Greater London,1.344820430821511e-4,2019-06-01T11:27:30Z
20190602T110829_20190608T131350,Greater London,6.616429168293433e-5,2019-06-02T11:59:14Z
NA,NA,NA,2019-06-03T12:00:00Z
NA,NA,NA,2019-06-04T12:00:00Z
NA,NA,NA,2019-06-05T12:00:00Z
20190606T113357_20190612T135226,Greater London,4.251319257425856e-5,2019-06-06T11:33:57Z
NA,NA,NA,2019-06-07T12:00:00Z
20190608T123725_20190614T143040,Greater London,2.683115548421758e-5,2019-06-08T12:37:25Z
20190609T121824_20190615T142147,Greater London,4.2345804104115814e-5,2019-06-09T12:18:24Z
NA,NA,NA,2019-06-10T12:00:00Z
NA,NA,NA,2019-06-11T12:00:00Z
NA,NA,NA,2019-06-12T12:00:00Z
NA,NA,NA,2019-06-13T12:00:00Z
NA,NA,NA,2019-06-14T12:00:00Z
NA,NA,NA,2019-06-15T12:00:00Z
20190616T114642_20190622T135931,Greater London,2.7760427812062087e-5,2019-06-16T11:46:42Z
20190617T112740_20190623T133401,Greater London,6.022168084528938e-5,2019-06-17T11:27:40Z
NA,NA,NA,2019-06-18T12:00:00Z
NA,NA,NA,2019-06-19T12:00:00Z
NA,NA,NA,2019-06-20T12:00:00Z
20190621T115300_20190627T135848,Greater London,3.871124499710277e-5,2019-06-21T11:53:00Z
20190622T113357_20190628T134332,Greater London,5.185219680877215e-5,2019-06-22T11:33:57Z
NA,NA,NA,2019-06-23T12:00:00Z
NA,NA,NA,2019-06-24T12:00:00Z
NA,NA,NA,2019-06-25T12:00:00Z
20190626T115915_20190702T140107,Greater London,4.925894972984679e-5,2019-06-26T11:59:15Z
20190627T114012_20190703T132402,Greater London,8.03211607257273e-5,2019-06-27T11:40:12Z
20190628T112108_20190704T132032,Greater London,7.478783925940232e-5,2019-06-28T12:11:53Z
20190629T110205_20190705T124631,Greater London,7.242162534739602e-5,2019-06-29T11:52:49Z
20190630T104301_20190706T123042,Greater London,5.5912712651307605e-5,2019-06-30T11:33:46Z
20190701T102357_20190707T120219,Greater London,6.755329796583595e-5,2019-07-01T11:14:42Z
NA,NA,NA,2019-07-02T12:00:00Z
20190703T112719_20190709T131019,Greater London,1.2893780814202227e-4,2019-07-03T11:27:19Z
20190704T110815_20190710T125316,Greater London,1.868687630032601e-4,2019-07-04T11:59:00Z
20190705T104911_20190711T122936,Greater London,1.4255965315773927e-4,2019-07-05T11:39:56Z
NA,NA,NA,2019-07-06T12:00:00Z
20190707T115232_20190713T133909,Greater London,5.9582427638815716e-5,2019-07-07T11:52:32Z
NA,NA,NA,2019-07-08T12:00:00Z
NA,NA,NA,2019-07-09T12:00:00Z
NA,NA,NA,2019-07-10T12:00:00Z
20190711T103614_20190717T122343,Greater London,1.2350277935152464e-4,2019-07-11T11:26:59Z
20190712T115840_20190718T135858,Greater London,5.0922011591157665e-5,2019-07-12T11:58:40Z
NA,NA,NA,2019-07-13T12:00:00Z
NA,NA,NA,2019-07-14T12:00:00Z
NA,NA,NA,2019-07-15T12:00:00Z
20190716T104224_20190722T123651,Greater London,2.010988013876839e-4,2019-07-16T11:33:09Z
NA,NA,NA,2019-07-17T12:00:00Z
NA,NA,NA,2019-07-18T12:00:00Z
NA,NA,NA,2019-07-19T12:00:00Z
20190720T110736_20190726T130006,Greater London,2.4532104707911515e-5,2019-07-20T11:07:36Z
NA,NA,NA,2019-07-21T12:00:00Z
20190722T102926_20190728T115841,Greater London,8.182197052519768e-5,2019-07-22T10:29:26Z
20190723T115151_20190729T133820,Greater London,8.41632783892076e-5,2019-07-23T11:51:51Z
20190724T113246_20190730T131949,Greater London,8.799272663102702e-5,2019-07-24T11:32:46Z
20190725T111341_20190731T125348,Greater London,7.693428698227248e-5,2019-07-25T12:04:26Z
NA,NA,NA,2019-07-26T12:00:00Z
NA,NA,NA,2019-07-27T12:00:00Z
20190728T115755_20190803T134656,Greater London,3.6206532968208194e-5,2019-07-28T11:57:55Z
20190729T113850_20190804T133031,Greater London,6.034132105964867e-5,2019-07-29T11:38:50Z
NA,NA,NA,2019-07-30T12:00:00Z
NA,NA,NA,2019-07-31T12:00:00Z
20190801T122303_20190807T141810,Greater London,7.133903763991633e-5,2019-08-01T12:23:03Z
20190802T120357_20190808T135255,Greater London,9.695204991939315e-5,2019-08-02T12:03:57Z
NA,NA,NA,2019-08-03T12:00:00Z
NA,NA,NA,2019-08-04T12:00:00Z
20190805T110640_20190811T125705,Greater London,6.327579485033948e-5,2019-08-05T11:57:24Z
NA,NA,NA,2019-08-06T12:00:00Z
20190807T120958_20190813T145201,Greater London,4.379290398148383e-5,2019-08-07T12:09:58Z
20190808T115051_20190814T142442,Greater London,5.907272452398301e-5,2019-08-08T11:50:51Z
20190809T113145_20190815T135735,Greater London,3.161620363416809e-5,2019-08-09T11:31:45Z
20190810T111239_20190816T133124,Greater London,2.2265458028414287e-5,2019-08-10T11:12:39Z
NA,NA,NA,2019-08-11T12:00:00Z
NA,NA,NA,2019-08-12T12:00:00Z
20190813T115649_20190819T141903,Greater London,5.6601716608522396e-005,2019-08-13T11:56:49Z
NA,NA,NA,2019-08-14T12:00:00Z
20190815T111836_20190821T133825,Greater London,3.6415239731535346e-5,2019-08-15T12:09:21Z
